actor_id,actor_name,category,title_id,title,year,release_date,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0000375,Robert Downey Jr.,actor,tt0068659,Greaser's Palace,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0066234,Pound,NA,NA,movie,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt8847712,The French Dispatch,2021,2021-10-22,movie,25000000,USD,46333545,30209170,16124375,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0385887,Motherless Brooklyn,2019,2019-11-01,movie,26000000,USD,18477736,9200000,9277736,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0437086,Alita: Battle Angel,2019,2019-02-14,movie,170000000,USD,404980543,319142333,85838210,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt5846856,Ask the StoryBots,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,Daytime Emmy,"Outstanding Performer in a Children's, Family Viewing or Special Class Program",Daytime Emmy Awards,Nominated,2019
nm0001570,Edward Norton,actor,tt5104604,Isle of Dogs,2018,2018-04-13,movie,NA,NA,64337744,32322513,32015231,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt4682786,Collateral Beauty,2016,2016-12-16,movie,36000000,USD,88528280,57512259,31016021,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1700841,Sausage Party,2016,2016-08-12,movie,19000000,USD,140705322,43019636,97685686,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt4788934,The Guardian Brothers,2015,2017-05-20,movie,NA,NA,11902156,11902156,0,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt3530232,Last Week Tonight with John Oliver,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt5786876,Nature Is Speaking,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,2014-11-14,movie,18000000,USD,103215094,60874496,42340598,USD,0,Oscar,Best Performance by an Actor in a Supporting Role,"Academy Awards, USA",Nominated,2015
nm0001570,Edward Norton,actor,tt2278388,The Grand Budapest Hotel,2014,2014-03-28,movie,25000000,USD,173082189,113780865,59301324,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0072562,Saturday Night Live,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0096697,The Simpsons,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1194173,The Bourne Legacy,2012,2012-08-10,movie,125000000,USD,276144750,162940880,113203870,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1748122,Moonrise Kingdom,2012,2012-06-29,movie,16000000,USD,68264022,22751556,45512466,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1645170,The Dictator,2012,2012-05-16,movie,65000000,USD,179379533,119729311,59650222,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1423995,Stone,2010,2010-10-22,movie,22000000,USD,10300416,8490338,1810078,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1442437,Modern Family,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1151359,Leaves of Grass,2009,2010-09-17,movie,9000000,USD,1034214,964148,70066,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt1058017,The Invention of Lying,2009,2009-10-02,movie,18500000,USD,32406507,13955256,18451251,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0482572,Pride and Glory,2008,2008-10-24,movie,30000000,USD,31200557,15459836,15740721,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0800080,The Incredible Hulk,2008,2008-06-13,movie,150000000,USD,264770996,129964083,134806913,USD,1,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0446755,The Painted Veil,2006,2007-01-19,movie,19400000,USD,26910847,18850360,8060487,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0443543,The Illusionist,2006,2006-09-01,movie,16500000,USD,87892388,48023746,39868642,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0443409,Stella,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0398027,Down in the Valley,2005,2005-06-16,movie,8000000,USD,855009,286077,568932,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0320661,Kingdom of Heaven,2005,2005-05-06,movie,130000000,USD,218122627,170724214,47398413,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0367479,After the Sunset,2004,2004-11-12,movie,60000000,USD,62657868,34326635,28331233,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0317740,The Italian Job,2003,2003-05-30,movie,60000000,USD,176070171,69941570,106128601,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0307901,25th Hour,2002,2003-01-10,movie,5000000,USD,23932055,10847460,13084595,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0289765,Red Dragon,2002,2002-10-04,movie,78000000,USD,209196298,116046400,93149898,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0120679,Frida,2002,2002-11-22,movie,12000000,USD,56298474,30413474,25885000,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0266452,Death to Smoochy,2002,2002-03-29,movie,50000000,USD,8382938,18247,8364691,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0227445,The Score,2001,2001-07-13,movie,68000000,USD,114252154,43144443,71107711,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0171433,Keeping the Faith,2000,2000-04-14,movie,29000000,USD,59945183,22897303,37047880,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0137523,Fight Club,1999,1999-10-15,movie,63000000,USD,101209702,64179600,37030102,USD,0,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0128442,Rounders,1998,1998-09-11,movie,12000000,USD,22912409,NA,NA,USD,0,NA,NA,NA,NA,NA
