title_id,title,release_date
tt3152624,Trainwreck,2015-07-17
tt3704416,Digging for Fire,2015-08-21
tt2039393,The Gambler,2014-12-25
tt2370248,Short Term 12,2013-08-23
tt2229499,Don Jon,2013-09-27
tt1714206,The Spectacular Now,2013-09-13
tt1232829,21 Jump Street,2012-03-16
tt1640548,Rampart,2011-11-23
tt1483756,The Trouble with Bliss,2012-03-23
tt1234654,Greenberg,2010-03-26
tt1151410,Tanner Hall,2009-10-09
tt0488539,Farce of the Penguins,2006
tt0453494,Hoot,2006-05-05
tt0368975,Sleepover,2004-07-09
tt0337563,13 Going on 30,2004-04-23
tt0206113,Madison,2001-01-23
tt6467266,Sing 2,2021-12-22
tt3480822,Black Widow,2021-07-09
tt2584384,Jojo Rabbit,2019-11-08
tt7653254,Marriage Story,2019-12-06
tt4799050,Rough Night,2017-06-16
tt1219827,Ghost in the Shell,2017-03-31
tt3470600,Sing,2016-12-21
tt3040964,The Jungle Book,2016-04-15
tt0475290,"Hail, Caesar!",2016-02-05
tt2872732,Lucy,2014-07-25
tt1441395,Under the Skin,2013-08-29
tt0975645,Hitchcock,2012-12-14
tt1389137,We Bought a Zoo,2011-12-23
tt1001508,He's Just Not That Into You,2009-02-06
tt0831887,The Spirit,2008-12-25
tt0497465,Vicky Cristina Barcelona,2008-08-15
tt0482571,The Prestige,2006-10-20
tt0387877,The Black Dahlia,2006-09-15
tt0457513,Scoop,2006-07-28
tt0399201,The Island,2005-07-22
tt0416320,Match Point,2006-01-20
tt0385267,In Good Company,2005-01-14
tt0345950,The SpongeBob SquarePants Movie,2004-11-19
tt0379306,A Good Woman,2006-02-03
tt0369672,A Love Song for Bobby Long,2005-01-21
tt0335119,Girl with a Pearl Earring,2004-01-30
tt0335266,Lost in Translation,2003-10-03
tt0271367,Eight Legged Freaks,2002-07-17
tt0221799,An American Rhapsody,2001-06-20
tt0162346,Ghost World,2001-09-21
tt0243133,The Man Who Wasn't There,2001-11-16
tt0119314,The Horse Whisperer,1998-05-15
tt0119303,Home Alone 3,1997-12-12
tt0119098,Fall,1997-06-20
tt0116606,If Lucy Fell,1996-03-08
tt0116985,Manny & Lo,1996-07-26
tt0113501,Just Cause,1995-02-17
tt0110687,North,1994-07-22
tt4004084,Antisocial 2,2018-06-22
tt9032400,Eternals,2021-11-05
tt5109280,Raya and the Last Dragon,2021-03-05
tt2328900,Mary Queen of Scots,2018-12-21
tt1273221,London Fields,2018-10-26
tt3104988,Crazy Rich Asians,2018-08-15
tt3371366,Transformers: The Last Knight,2017-06-21
tt3567666,Stratton,2018-01-05
tt3183660,Fantastic Beasts and Where to Find Them,2016-11-18
tt3613648,Families,2015-10-14
tt1205537,Jack Ryan: Shadow Recruit,2014-01-17
tt1825157,The Double,2014-03-24
tt1440292,Submarine,2011-01
tt1092634,Shanghai,2015-10-02
tt0436992,Doctor Who,2006-03-17
tt1258197,Exam,2010-02-06
tt3045616,Mortdecai,2015-01-23
tt1932718,Thanks for Sharing,2013-09-20
tt1598778,Contagion,2011-09-09
tt1555064,Country Strong,2011-01-07
tt1103275,Two Lovers,2009-03-20
tt0484111,The Good Night,2007-01-25
tt0439289,Running with Scissors,2006-10-27
tt0452643,Love and Other Disasters,2008-06-17
tt0420609,Infamous,2006-10-13
tt0377107,Proof,2005-10-07
