area,areaName,movie_id,title,year,budget,budget_curr,total_amount,total_currency
XWW,World-wide,tt0113321,Home for the Holidays,1995,20000000,USD,17519169,USD
XWW,World-wide,tt0114279,Richard III,1995,6000000,GBP,2748518,USD
XNDOM,International,tt0114279,Richard III,1995,6000000,GBP,63614,USD
XWW,World-wide,tt0110737,Only You,1994,0,NULL,20059210,USD
XWW,World-wide,tt0110632,Natural Born Killers,1994,34000000,USD,50283563,USD
XNDOM,International,tt0110632,Natural Born Killers,1994,34000000,USD,797,USD
XWW,World-wide,tt0108122,Short Cuts,1993,0,NULL,6110979,USD
XWW,World-wide,tt0107091,Heart and Souls,1993,25000000,USD,16589540,USD
XWW,World-wide,tt0103939,Chaplin,1992,31000000,USD,9493259,USD
XWW,World-wide,tt0102951,Soapdish,1991,25000000,USD,36489888,USD
XWW,World-wide,tt0099005,Air America,1990,35000000,USD,33461269,USD
XNDOM,International,tt0099005,Air America,1990,35000000,USD,2407668,USD
XWW,World-wide,tt0097044,Chances Are,1989,16000000,USD,16278590,USD
XWW,World-wide,tt0098524,True Believer,1989,0,NULL,8742750,USD
XWW,World-wide,tt0094594,1969,1988,7000000,USD,5979011,USD
XWW,World-wide,tt0095409,Johnny Be Good,1988,22000000,USD,17550399,USD
XWW,World-wide,tt0093407,Less Than Zero,1987,0,NULL,12396383,USD
XWW,World-wide,tt0093737,The Pick-up Artist,1987,15000000,USD,13290368,USD
XWW,World-wide,tt0090685,Back to School,1986,11000000,USD,91258000,USD
XWW,World-wide,tt0090305,Weird Science,1985,7500000,USD,38934048,USD
XNDOM,International,tt0090305,Weird Science,1985,7500000,USD,15100000,USD
XWW,World-wide,tt0089208,Girls Just Want to Have Fun,1985,0,NULL,6326051,USD
XWW,World-wide,tt0090213,Tuff Turf,1985,0,NULL,9369329,USD
XWW,World-wide,tt0087263,Firstborn,1984,8000000,USD,6250994,USD
XWW,World-wide,tt0085208,Baby It's You,1983,3000000,USD,1867792,USD
XWW,World-wide,tt0471042,Tower Heist,2011,75000000,USD,152930623,USD
XNDOM,International,tt0471042,Tower Heist,2011,75000000,USD,74884053,USD
XR2,Russia and Commonwealth of Independent States,tt0471042,Tower Heist,2011,75000000,USD,6876690,USD
XKN,East Africa,tt0471042,Tower Heist,2011,75000000,USD,6349,USD
XWW,World-wide,tt0218967,The Family Man,2000,60000000,USD,124745083,USD
XNDOM,International,tt0218967,The Family Man,2000,60000000,USD,48951778,USD
XWW,World-wide,tt0175880,Magnolia,1999,37000000,USD,48451803,USD
XNDOM,International,tt0175880,Magnolia,1999,37000000,USD,25995827,USD
XWW,World-wide,tt0118749,Boogie Nights,1997,15000000,USD,43117303,USD
XNDOM,International,tt0118749,Boogie Nights,1997,15000000,USD,16700954,USD
XWW,World-wide,tt0117781,The Sunchaser,1996,0,NULL,21508,USD
XWW,World-wide,tt0090180,To Live and Die in L.A.,1985,8000000,USD,17307019,USD
NA,NA,tt0064855,Putney Swope,1969,200000,USD,NA,NA
NA,NA,tt0251300,No More Excuses,1968,12000,USD,NA,NA
XWW,World-wide,tt8847712,The French Dispatch,2021,25000000,USD,46333545,USD
XNDOM,International,tt8847712,The French Dispatch,2021,25000000,USD,30209170,USD
XR2,Russia and Commonwealth of Independent States,tt8847712,The French Dispatch,2021,25000000,USD,2221148,USD
XWW,World-wide,tt0385887,Motherless Brooklyn,2019,26000000,USD,18477736,USD
XNDOM,International,tt0385887,Motherless Brooklyn,2019,26000000,USD,9200000,USD
XR2,Russia and Commonwealth of Independent States,tt0385887,Motherless Brooklyn,2019,26000000,USD,1035145,USD
XWW,World-wide,tt0437086,Alita: Battle Angel,2019,170000000,USD,404980543,USD
XNDOM,International,tt0437086,Alita: Battle Angel,2019,170000000,USD,319142333,USD
XR2,Russia and Commonwealth of Independent States,tt0437086,Alita: Battle Angel,2019,170000000,USD,12472985,USD
XWW,World-wide,tt5104604,Isle of Dogs,2018,0,NULL,64337744,USD
XNDOM,International,tt5104604,Isle of Dogs,2018,0,NULL,32322513,USD
XR2,Russia and Commonwealth of Independent States,tt5104604,Isle of Dogs,2018,0,NULL,631774,USD
XWW,World-wide,tt4682786,Collateral Beauty,2016,36000000,USD,88528280,USD
XNDOM,International,tt4682786,Collateral Beauty,2016,36000000,USD,57512259,USD
XR2,Russia and Commonwealth of Independent States,tt4682786,Collateral Beauty,2016,36000000,USD,3500000,USD
XWW,World-wide,tt1700841,Sausage Party,2016,19000000,USD,140705322,USD
XNDOM,International,tt1700841,Sausage Party,2016,19000000,USD,43019636,USD
XR2,Russia and Commonwealth of Independent States,tt1700841,Sausage Party,2016,19000000,USD,2596844,USD
XWW,World-wide,tt4788934,The Guardian Brothers,2015,0,NULL,11902156,USD
XNDOM,International,tt4788934,The Guardian Brothers,2015,0,NULL,11902156,USD
XWW,World-wide,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,USD,103215094,USD
XNDOM,International,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,USD,60874496,USD
XR2,Russia and Commonwealth of Independent States,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,USD,1772195,USD
XWW,World-wide,tt2278388,The Grand Budapest Hotel,2014,25000000,USD,173082189,USD
XNDOM,International,tt2278388,The Grand Budapest Hotel,2014,25000000,USD,113780865,USD
XR2,Russia and Commonwealth of Independent States,tt2278388,The Grand Budapest Hotel,2014,25000000,USD,5614501,USD
NA,NA,tt0096697,The Simpsons,1989,750000,USD,NA,NA
XWW,World-wide,tt1194173,The Bourne Legacy,2012,125000000,USD,276144750,USD
XNDOM,International,tt1194173,The Bourne Legacy,2012,125000000,USD,162940880,USD
XR2,Russia and Commonwealth of Independent States,tt1194173,The Bourne Legacy,2012,125000000,USD,7234192,USD
XKN,East Africa,tt1194173,The Bourne Legacy,2012,125000000,USD,51435,USD
XWW,World-wide,tt1748122,Moonrise Kingdom,2012,16000000,USD,68264022,USD
XNDOM,International,tt1748122,Moonrise Kingdom,2012,16000000,USD,22751556,USD
XR2,Russia and Commonwealth of Independent States,tt1748122,Moonrise Kingdom,2012,16000000,USD,1058836,USD
