actor_name,category,title,year,release_date,type,MCU,budget_USD,budget_scaled,World_Wide,International,Domestic,award_mcu,award_name,award_category,event_name,winner,color_id
Chris Pratt,actor,Jem and the Holograms,2015,2015-10-23,Movie,Non-MCU,5000000,3.0699726783785013,2333684,149044,2184640,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Jurassic World,2015,2015-06-12,Movie,Non-MCU,150000000,5.106593651697924,1671537444,1018130819,653406625,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Guardians of the Galaxy,2014,2014-08-01,Movie,MCU,170000000,5.387506889397155,773350147,439631547,333718600,MCU,NA,NA,NA,NA,#233f92
Chris Pratt,actor,The Lego Movie,2014,2014-02-07,Movie,Non-MCU,60000000,3.842484082051386,468266122,210300000,257966122,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Delivery Man,2013,2013-11-22,Movie,Non-MCU,26000000,3.3649315779626936,53120346,22456240,30664106,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Her,2014,2014-01-10,Movie,Non-MCU,23000000,3.322794592307809,48517427,22949176,25568251,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Movie 43,2013,2013-01-25,Movie,Non-MCU,6000000,3.084018340263463,32443111,23602658,8840453,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Zero Dark Thirty,2013,2013-01-11,Movie,Non-MCU,40000000,3.561570844352155,132820716,37100000,95720716,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,The Five-Year Engagement,2012,2012-04-27,Movie,Non-MCU,30000000,3.4211142255025395,54169363,25333835,28835528,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,What's Your Number?,2011,2011-09-30,Movie,Non-MCU,20000000,3.2806576066529245,30426096,16415012,14011084,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,10 Years,2012,2012-10-05,Movie,Non-MCU,NA,3,285984,82611,203373,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Moneyball,2011,2011-09-23,Movie,Non-MCU,50000000,3.7020274632017705,110206216,34600724,75605492,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Take Me Home Tonight,2011,2011-03-04,Movie,Non-MCU,23000000,3.322794592307809,7550073,622005,6928068,Non-MCU,NA,NA,NA,NA,#C4D6FA
Chris Pratt,actor,Jennifer's Body,2009,2009-09-18,Movie,Non-MCU,16000000,3.224474959113078,31556061,15351268,16204793,Non-MCU,NA,NA,NA,NA,#C4D6FA
