title_id,title,release_date
tt0112056,MADtv,1995-10-14
tt0092322,Biography,1987-04-06
tt0301976,The United States of Leland,2003-01-18
tt0108757,ER,1994-09-19
tt0285341,The Bernie Mac Show,2001-11-07
tt0389571,Animated Tales of the World,2001-09-05
tt0240772,Ocean's Eleven,2001-12-07
tt0266915,Rush Hour 2,2001-08-03
tt0244244,Swordfish,2001-06-08
tt0252684,Manic,2003-05-23
tt0245501,Things Behind the Sun,2001-01-24
tt0218967,The Family Man,2000-12-22
tt0181865,Traffic,2001-01-05
tt0183523,Mission to Mars,2000-03-10
tt0096697,The Simpsons,1989-12-17
tt0120780,Out of Sight,1998-06-26
tt0118798,Bulworth,1998-05-22
tt0118749,Boogie Nights,1997-10-31
tt0120461,Volcano,1997-04-25
tt0120036,Rosewood,1997-02-21
tt0103512,Picket Fences,1992-09-18
tt0112857,Devil in a Blue Dress,1995-09-29
tt0114660,Things to Do in Denver When You're Dead,1995-12-01
tt0103435,Hangin' with Mr. Cooper,1992-09-22
tt0107563,The Meteor Man,1993-08-06
tt0103426,The Golden Palace,1992-09-18
tt0105267,Roadside Prophets,1992-03-27
tt0098800,The Fresh Prince of Bel-Air,1990-09-10
tt0094433,China Beach,1988-04-26
tt0096550,Booker,1989-09-24
tt0094894,Colors,1988-04-29
tt0086770,Night Court,1984-01-04
tt0092373,Hooperman,1987-09-23
tt0093137,Hamburger Hill,1987-08-28
tt0092326,The Bronx Zoo,1987-03-19
tt0081873,Hill Street Blues,1981-01-15
tt0090466,L.A. Law,1986-09-15
tt0083412,Fame,1982-01-07
tt0090519,Sidekicks,1986-02-16
tt0089629,Moving Violations,1985-04-19
tt11712058,Mayor of Kingstown,2021-11-14
tt10160804,Hawkeye,2021-11-24
tt4426464,Arctic Dogs,2019-11-01
tt2854926,Tag,2018-06-15
tt4481514,The House,2017-06-30
tt2543164,Arrival,2016-11-11
tt2381249,Mission: Impossible - Rogue Nation,2015-07-31
tt1216491,Kill the Messenger,2014-09-28
tt1492966,Louie,2010-06-29
tt3543006,The World Wars,2014-05-26
tt1800241,American Hustle,2013-12-20
tt9881938,Saturday Night Live: Cut for Time,2014
tt1951181,The Immigrant,2014-05-23
tt1428538,Hansel & Gretel: Witch Hunters,2013-01-25
tt1194173,The Bourne Legacy,2012-08-10
tt0437745,Robot Chicken,2001-01-01
tt1229238,Mission: Impossible - Ghost Protocol,2011-12-21
tt0800369,Thor,2011-05-06
tt0840361,The Town,2010-09-17
tt1240976,The Unusuals,2009-04-08
tt0991174,Ingenious,2009-02-01
tt1082514,The Oaks,2008-10
tt0412142,House,2004-11-16
tt0443680,The Assassination of Jesse James by the Coward Robert Ford,2007-10-19
tt0815138,Take,2008-07-18
tt0463854,28 Weeks Later,2007-05-11
tt0383478,Love Comes to the Executioner,2006-08-15
tt0420740,A Little Trip to Heaven,2006-01
tt0395972,North Country,2005-10-21
tt0417385,12 and Holding,2006-03-31
tt0355702,Lords of Dogtown,2005-06-03
tt0364556,Neo Ned,2005-04-22
tt0368774,The Heart Is Deceitful Above All Things,2004-10-08
tt0257076,S.W.A.T.,2003-08-08
tt0285728,Dahmer,2019
tt0272196,Monkey Love,2002-06-12
tt0247082,CSI: Crime Scene Investigation,2000-10-06
tt0294578,Fish in a Barrel,2001-01-20
tt0162065,Angel,1999-10-05
tt0178165,Time of Your Life,1999-10-25
tt0163953,The Net,1998-07-19
tt0144071,To Have & to Hold,1998-09-30
tt0117288,Paper Dragons,1996
tt0112182,Strange Luck,1995-09-15
tt0111937,Deadly Games,1995-09-05
tt0113936,National Lampoon's Senior Trip,1995-09-08
