actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0789970,NA,The Lost Peace,actor,tt5444548,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,ITV Play of the Week,actor,tt0914702,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Front Page Story,actor,tt0207247,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Great War,actor,tt0057753,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,It Happened Here,actor,tt0055024,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Here Lies Miss Sabry,actor,tt0405965,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Saturday Playhouse,actor,tt1570377,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Somerset Maugham Hour,actor,tt0164287,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Knight Errant Limited,actor,tt0159884,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Probation Officer,actor,tt0159904,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Armchair Theatre,actor,tt0161126,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,BBC Sunday-Night Theatre,actor,tt0989125,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0789970,NA,Scotch on the Rocks,actor,tt0044830,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Feature Story,actor,tt2397452,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Landfall,actor,tt0041576,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Glass Mountain,actor,tt0040605,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Journey Together,actor,tt0038663,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Strangler,actor,tt0033108,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Flying Squad,actor,tt0032482,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Bulldog Sees It Through,actor,tt0031030,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Three Silent Men,actor,tt0033161,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Spy in Black,actor,tt0031968,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Too Dangerous to Live,actor,tt0032042,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Murder on Diamond Row,actor,tt0029603,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Troopship,actor,tt0028854,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Men Are Not Gods,actor,tt0027954,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Tomorrow We Live,actor,tt0159038,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Jury's Evidence,actor,tt0027831,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Birds of a Feather,actor,tt0027363,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Ace of Spades,actor,tt0026035,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Jubilee Window,actor,tt0168018,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Department Store,actor,tt0026269,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Adventure Ltd.,actor,tt0165074,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Three Witnesses,actor,tt0027101,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Lad,actor,tt0026591,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Brewster's Millions,actor,tt0023841,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Way of Youth,actor,tt0165535,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Get Your Man,actor,tt0025168,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,The Four Masked Men,actor,tt0025135,NA,movie,NA,NA,NA,NA,NA,NA
nm0789970,NA,Caste,actor,tt0020746,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Murdoch Mysteries,actor,tt1091909,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,American Gods,actor,tt1898069,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Hudson & Rex,actor,tt9111220,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Taken,actor,tt5052460,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Garage Sale Mysteries,actor,tt13029326,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Cedar Cove,actor,tt2871832,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,The Returned,actor,tt3230780,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Marvel Knights: Eternals,actor,tt4058600,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Continuum,actor,tt1954347,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Ultimate Wolverine vs. Hulk,actor,tt3152670,NA,tvMiniSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,12 Rounds 2: Reloaded,actor,tt2317524,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Psych,actor,tt0491738,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Emily Owens M.D.,actor,tt2290339,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Crash Site,actor,tt1718755,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Camelot,actor,tt1672189,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Endgame,actor,tt1797629,2011,tvSeries,4000000,CAD,3215,3215,0,USD
nm0817819,NA,Smallville,actor,tt0279600,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Republic of Doyle,actor,tt1297754,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Sophie,actor,tt0947080,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Battlestar Galactica,actor,tt0407362,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Zack's Life,actor,tt10141704,NA,movie,NA,NA,NA,NA,NA,NA
nm0817819,NA,Ice Blues,actor,tt1130987,2008,movie,0,NULL,1377,NA,NA,USD
nm0817819,NA,"On the Other Hand, Death",actor,tt1238298,2008,movie,0,NULL,2892,NA,NA,USD
nm0817819,NA,Robson Arms,actor,tt0418424,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0817819,NA,Dress to Kill,actor,tt0370433,NA,movie,NA,NA,NA,NA,NA,NA
