actor_id,actor_name,category,title_id,title,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0001570,Edward Norton,actor,tt0443409,NA,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0001570,Edward Norton,actor,tt0398027,Down in the Valley,2005,movie,8000000,USD,855009,286077,568932,USD
nm0001570,Edward Norton,actor,tt0320661,Kingdom of Heaven,2005,movie,130000000,USD,218122627,170724214,47398413,USD
nm0001570,Edward Norton,actor,tt0367479,After the Sunset,2004,movie,60000000,USD,62657868,34326635,28331233,USD
nm0001570,Edward Norton,actor,tt0317740,The Italian Job,2003,movie,60000000,USD,176070171,69941570,106128601,USD
nm0001570,Edward Norton,actor,tt0307901,25th Hour,2002,movie,5000000,USD,23932055,10847460,13084595,USD
nm0001570,Edward Norton,actor,tt0289765,Red Dragon,2002,movie,78000000,USD,209196298,116046400,93149898,USD
nm0001570,Edward Norton,actor,tt0120679,Frida,2002,movie,12000000,USD,56298474,30413474,25885000,USD
nm0001570,Edward Norton,actor,tt0266452,Death to Smoochy,2002,movie,50000000,USD,8382938,18247,8364691,USD
nm0001570,Edward Norton,actor,tt0227445,The Score,2001,movie,68000000,USD,114252154,43144443,71107711,USD
nm0001570,Edward Norton,actor,tt0171433,Keeping the Faith,2000,movie,29000000,USD,59945183,22897303,37047880,USD
nm0001570,Edward Norton,actor,tt0137523,Fight Club,1999,movie,63000000,USD,101209702,64179600,37030102,USD
nm0001570,Edward Norton,actor,tt0128442,Rounders,1998,movie,12000000,USD,22912409,NA,NA,USD
nm0001570,Edward Norton,actor,tt0120586,American History X,1998,movie,20000000,USD,23875127,17155263,6719864,USD
nm0001570,Edward Norton,actor,tt0117318,The People vs. Larry Flynt,1996,movie,36000000,USD,20300385,NA,NA,USD
nm0001570,Edward Norton,actor,tt0116242,Everyone Says I Love You,1996,movie,20000000,USD,9759200,NA,NA,USD
nm0001570,Edward Norton,actor,tt0117381,Primal Fear,1996,movie,30000000,USD,102616183,46500000,56116183,USD
nm0636268,NA,actor,tt0033834,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0032338,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0029039,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0027587,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0028005,NA,NA,movie,NA,NA,NA,NA,NA,NA
nm0636268,NA,actor,tt0028002,NA,NA,movie,NA,NA,NA,NA,NA,NA
