actor_id,actor_name,title,category,title_id,year,type,budget,budget_currency,World-wide,International,Domestic,boxoffice_currency
nm0000375,Robert Downey Jr.,Baby It's You,actor,tt0085208,1983,movie,3000000,USD,1867792,NA,NA,USD
nm0000375,Robert Downey Jr.,Up the Academy,actor,tt0081695,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,Greaser's Palace,actor,tt0068659,NA,movie,NA,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,Pound,actor,tt0066234,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,Saturday Night Live,actor,tt0072562,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,Tower Heist,actor,tt0471042,2011,movie,75000000,USD,152930623,74884053,78046570,USD
nm0002049,NA,From Other Worlds,actor,tt0363623,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,The Family Man,actor,tt0218967,2000,movie,60000000,USD,124745083,48951778,75793305,USD
nm0002049,NA,Magnolia,actor,tt0175880,1999,movie,37000000,USD,48451803,25995827,22455976,USD
nm0002049,NA,Boogie Nights,actor,tt0118749,1997,movie,15000000,USD,43117303,16700954,26416349,USD
nm0002049,NA,The Sunchaser,actor,tt0117781,1996,movie,0,NULL,21508,NA,NA,USD
nm0002049,NA,Hail Caesar,actor,tt0109969,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,1st & Ten,actor,tt0086660,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,Johnny Be Good,actor,tt0095409,1988,movie,22000000,USD,17550399,NA,NA,USD
nm0002049,NA,Matlock,actor,tt0090481,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,To Live and Die in L.A.,actor,tt0090180,1985,movie,8000000,USD,17307019,NA,NA,USD
nm0002049,NA,The Twilight Zone,actor,tt0088634,NA,tvSeries,NA,NA,NA,NA,NA,NA
nm0002049,NA,You've Got to Walk It Like You Talk It or You'll Lose That Beat,actor,tt0068006,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,Putney Swope,actor,tt0064855,NA,movie,NA,NA,NA,NA,NA,NA
nm0002049,NA,No More Excuses,actor,tt0251300,NA,movie,NA,NA,NA,NA,NA,NA
