actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0000375,Robert Downey Jr.,actor,tt0405296,A Scanner Darkly,2006,2006-07-28,movie,USD,8700000,8700000,USD,7659918,2158302,5501616,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0393735,The Shaggy Dog,2006,2006-03-10,movie,USD,50000000,50000000,USD,87134280,26010711,61123569,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0473488,A Guide to Recognizing Your Saints,2006,2006-10-13,movie,NA,NA,NA,USD,2035468,1517659,517809,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0182576,Family Guy,NA,1999-01-31,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0433383,"Good Night, and Good Luck.",2005,2005-11-04,movie,USD,7000000,7000000,USD,54641191,23083188,31558003,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0373469,Kiss Kiss Bang Bang,2005,2005-11-18,movie,USD,15000000,15000000,USD,15785148,11541392,4243756,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0425055,Game 6,2005,NA,movie,USD,1000000,1000000,USD,129664,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0343663,Eros,2004,2005-04-08,movie,NA,NA,NA,USD,1553020,1364628,188392,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0348836,Gothika,2003,2003-11-21,movie,USD,40000000,40000000,USD,141591324,81896744,59694580,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0314676,The Singing Detective,2003,2003-01-17,movie,USD,8000000,8000000,USD,435625,98451,337174,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0118254,Ally McBeal,NA,1997-09-08,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series,Primetime Emmy Awards,Nominated,2001
nm0000375,Robert Downey Jr.,actor,tt0185014,Wonder Boys,2000,2000-02-25,movie,USD,55000000,55000000,USD,33426588,14033031,19393557,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0165643,Black & White,1999,2000-04-05,movie,USD,12000000,12000000,USD,5541431,264132,5277299,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0131325,Bowfinger,1999,1999-08-13,movie,USD,55000000,55000000,USD,98625775,32241000,66384775,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0143261,Friends & Lovers,1999,1999-04-16,movie,NA,NA,NA,USD,33543,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0120710,In Dreams,1999,1999-01-15,movie,USD,30000000,30000000,USD,12017369,NA,NA,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0120873,U.S. Marshals,1998,1998-03-06,movie,USD,60000000,60000000,USD,102367405,45200000,57167405,0,NA,NA,NA,NA,NA
nm0000375,Robert Downey Jr.,actor,tt0119196,The Gingerbread Man,1998,1998-01-23,movie,USD,25000000,25000000,USD,1677131,NA,NA,0,NA,NA,NA,NA,NA
