actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World_Wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year,MCU_tv,MCU,budget_scaled,decade,award_mcu
nm0000375,Robert Downey Jr.,actor,tt0085208,Baby It's You,1983,1983-03-04,Movie,USD,3000000,3000000,USD,1867792,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.0335050836868627,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0081695,Up the Academy,1980,1980-06-06,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm0000375,Robert Downey Jr.,actor,tt0068659,Greaser's Palace,1972,1972-07-31,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,70's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt10168312,What If...?,2021,2021-08-11,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,20's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt9140554,Loki,2021,2021-06-09,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,MCU,NA,20's,MCU
nm1165110,Chris Hemsworth,actor,tt8936646,Extraction,2020,2020-04-24,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,20's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt6521876,Jay and Silent Bob Reboot,2019,2019-10-15,Movie,USD,10000000,10000000,USD,4691248,101758,4589490,0,NA,NA,NA,NA,NA,0,Non-MCU,3.112160790242647,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt2283336,Men in Black: International,2019,2019-06-14,Movie,USD,110000000,110000000,USD,253890701,173888894,80001807,0,NA,NA,NA,NA,NA,0,Non-MCU,4.2358137410395695,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt4154796,Avengers: Endgame,2019,2019-04-26,Movie,USD,356000000,356000000,USD,2797501328,1939128328,858373000,1,NA,NA,NA,NA,NA,0,MCU,7,10's,MCU
nm1165110,Chris Hemsworth,actor,tt6628394,Bad Times at the El Royale,2018,2018-10-12,Movie,USD,32000000,32000000,USD,31882724,14043609,17839115,0,NA,NA,NA,NA,NA,0,Non-MCU,3.3593644394179702,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt4154756,Avengers: Infinity War,2018,2018-04-27,Movie,USD,321000000,321000000,USD,2048359754,1369544272,678815482,1,NA,NA,NA,NA,NA,0,MCU,6.606721467221077,10's,MCU
nm1165110,Chris Hemsworth,actor,tt1413492,12 Strong,2018,2018-01-19,Movie,USD,35000000,35000000,USD,67450815,21631102,45819713,0,NA,NA,NA,NA,NA,0,Non-MCU,3.393074027941878,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt3501632,Thor: Ragnarok,2017,2017-11-03,Movie,USD,180000000,180000000,USD,853983911,538925622,315058289,1,NA,NA,NA,NA,NA,0,MCU,5.022370806597416,10's,MCU
nm1165110,Chris Hemsworth,actor,tt1211837,Doctor Strange,2016,2016-11-04,Movie,USD,165000000,165000000,USD,677796076,445154156,232641920,1,NA,NA,NA,NA,NA,0,MCU,4.853822863977878,10's,MCU
nm1165110,Chris Hemsworth,actor,tt1289401,Ghostbusters,2016,2016-07-15,Movie,USD,144000000,144000000,USD,229147509,100796935,128350574,0,NA,NA,NA,NA,NA,0,Non-MCU,4.617855744310524,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt2381991,The Huntsman: Winter's War,2016,2016-04-22,Movie,USD,115000000,115000000,USD,164989338,116599148,48390190,0,NA,NA,NA,NA,NA,0,Non-MCU,4.291996388579416,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt1390411,In the Heart of the Sea,2015,2015-12-11,Movie,USD,100000000,100000000,USD,93920758,68900000,25020758,0,NA,NA,NA,NA,NA,0,Non-MCU,4.123448445959878,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt1524930,Vacation,2015,2015-07-29,Movie,USD,31000000,31000000,USD,107228221,48344033,58884188,0,NA,NA,NA,NA,NA,0,Non-MCU,3.348127909910001,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt2395427,Avengers: Age of Ultron,2015,2015-05-01,Movie,USD,250000000,250000000,USD,1402809540,943803672,459005868,1,NA,NA,NA,NA,NA,0,MCU,5.808927872155262,10's,MCU
nm1165110,Chris Hemsworth,actor,tt2717822,Blackhat,2015,2015-01-16,Movie,USD,70000000,70000000,USD,19652057,11646077,8005980,0,NA,NA,NA,NA,NA,0,Non-MCU,3.786352560720801,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt1981115,Thor: The Dark World,2013,2013-11-08,Movie,USD,170000000,170000000,USD,644783140,438421000,206362140,1,NA,NA,NA,NA,NA,0,MCU,4.910005511517724,10's,MCU
nm1165110,Chris Hemsworth,actor,tt1979320,Rush,2013,2013-09-27,Movie,USD,38000000,38000000,USD,96983009,70035385,26947624,0,NA,NA,NA,NA,NA,0,Non-MCU,3.4267836164657854,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt1234719,Red Dawn,2012,2012-11-21,Movie,USD,65000000,65000000,USD,50950296,6143513,44806783,0,NA,NA,NA,NA,NA,0,Non-MCU,3.730169913180955,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt1735898,Snow White and the Huntsman,2012,2012-06-01,Movie,USD,170000000,170000000,USD,396592829,241260448,155332381,0,NA,NA,NA,NA,NA,0,Non-MCU,4.910005511517724,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0848228,The Avengers,2012,2012-05-04,Movie,USD,220000000,220000000,USD,1518815515,895457605,623357910,1,NA,NA,NA,NA,NA,0,MCU,5.471831986916185,10's,MCU
nm1165110,Chris Hemsworth,actor,tt1259521,The Cabin in the Woods,2012,2012-04-13,Movie,USD,30000000,30000000,USD,70055998,27982721,42073277,0,NA,NA,NA,NA,NA,0,Non-MCU,3.3368913804020317,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0800369,Thor,2011,2011-05-06,Movie,USD,150000000,150000000,USD,449326618,268295994,181030624,1,NA,NA,NA,NA,NA,0,MCU,4.685274921358339,10's,MCU
nm1165110,Chris Hemsworth,actor,tt1106860,Ca$h,2010,2010-03-26,Movie,USD,7000000,7000000,USD,46488,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,3.0784512017187398,10's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0971209,A Perfect Getaway,2009,2009-08-07,Movie,USD,14000000,14000000,USD,22955544,7440084,15515460,0,NA,NA,NA,NA,NA,0,Non-MCU,3.1571069082745242,00's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0796366,Star Trek,2009,2009-05-08,Movie,USD,150000000,150000000,USD,385680446,127950427,257730019,0,NA,NA,NA,NA,NA,0,Non-MCU,4.685274921358339,00's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0094481,Home and Away,1988,1988-01-17,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,80's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0380893,Fergus McPhail,2004,2004-01-02,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,00's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0278876,The Saddle Club,2001,2001-01-06,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,00's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0088580,Neighbours,2004,2004-04-19,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,00's,Non-MCU
nm1165110,Chris Hemsworth,actor,tt0316985,Guinevere Jones,2002,2002-05-04,TV Series,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,00's,Non-MCU
nm0262635,Chris Evans,actor,tt11286314,Don't Look Up,2021,2021-12-24,Movie,NA,NA,NA,USD,791863,791863,0,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,20's,Non-MCU
nm0262635,Chris Evans,actor,tt6264654,Free Guy,2021,2021-08-13,Movie,USD,120000000,120000000,USD,331526598,209900000,121626598,0,NA,NA,NA,NA,NA,0,Non-MCU,4.348179036119262,20's,Non-MCU
nm0262635,Chris Evans,actor,tt8946378,Knives Out,2019,2019-11-27,Movie,USD,40000000,40000000,USD,311605581,146242347,165363234,0,NA,NA,NA,NA,NA,0,Non-MCU,3.449256675481724,10's,Non-MCU
nm0262635,Chris Evans,actor,tt4995776,The Red Sea Diving Resort,2019,2019-07-31,Movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,10's,Non-MCU
nm0262635,Chris Evans,actor,tt4154796,Avengers: Endgame,2019,2019-04-26,Movie,USD,356000000,356000000,USD,2797501328,1939128328,858373000,1,NA,NA,NA,NA,NA,0,MCU,7,10's,MCU
nm0262635,Chris Evans,actor,tt4154664,Captain Marvel,2019,2019-03-08,Movie,USD,160000000,160000000,USD,1128462972,701633133,426829839,1,NA,NA,NA,NA,NA,0,MCU,4.797640216438031,10's,MCU
nm0262635,Chris Evans,actor,tt4154756,Avengers: Infinity War,2018,2018-04-27,Movie,USD,321000000,321000000,USD,2048359754,1369544272,678815482,1,NA,NA,NA,NA,NA,0,MCU,6.606721467221077,10's,MCU
nm0262635,Chris Evans,actor,tt2250912,Spider-Man: Homecoming,2017,2017-07-07,Movie,USD,175000000,175000000,USD,880166924,545965784,334201140,1,NA,NA,NA,NA,NA,0,MCU,4.96618815905757,10's,MCU
nm0262635,Chris Evans,actor,tt4481414,Gifted,2017,2017-04-12,Movie,USD,7000000,7000000,USD,43069254,18268042,24801212,0,NA,NA,NA,NA,NA,0,Non-MCU,3.0784512017187398,10's,Non-MCU
nm0262635,Chris Evans,actor,tt3498820,Captain America: Civil War,2016,2016-05-06,Movie,USD,250000000,250000000,USD,1153337496,745253147,408084349,1,NA,NA,NA,NA,NA,0,MCU,5.808927872155262,10's,MCU
nm0262635,Chris Evans,actor,tt0478970,Ant-Man,2015,2015-07-17,Movie,USD,130000000,130000000,USD,519311965,339109802,180202163,1,NA,NA,NA,NA,NA,0,MCU,4.460544331198955,10's,MCU
nm0262635,Chris Evans,actor,tt2395427,Avengers: Age of Ultron,2015,2015-05-01,Movie,USD,250000000,250000000,USD,1402809540,943803672,459005868,1,NA,NA,NA,NA,NA,0,MCU,5.808927872155262,10's,MCU
nm0262635,Chris Evans,actor,tt2139555,Playing It Cool,2015,2015-05-08,Movie,NA,NA,NA,USD,1323415,1323415,0,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,10's,Non-MCU
nm0262635,Chris Evans,actor,tt0443465,Before We Go,2015,2015-07-21,Movie,NA,NA,NA,USD,462875,425724,37151,0,NA,NA,NA,NA,NA,0,Non-MCU,NA,10's,Non-MCU
nm0262635,Chris Evans,actor,tt1843866,Captain America: The Winter Soldier,2014,2014-04-04,Movie,USD,170000000,170000000,USD,714421503,454654931,259766572,1,NA,NA,NA,NA,NA,0,MCU,4.910005511517724,10's,MCU
nm0262635,Chris Evans,actor,tt1981115,Thor: The Dark World,2013,2013-11-08,Movie,USD,170000000,170000000,USD,644783140,438421000,206362140,1,NA,NA,NA,NA,NA,0,MCU,4.910005511517724,10's,MCU
nm0262635,Chris Evans,actor,tt1706620,Snowpiercer,2014,2014-07-11,Movie,USD,39200000,39200000,USD,86758912,82195262,4563650,0,NA,NA,NA,NA,NA,0,Non-MCU,3.4402674518753487,10's,Non-MCU
nm0262635,Chris Evans,actor,tt1491044,The Iceman,2012,2012-09-01,Movie,USD,10000000,10000000,USD,4552970,2583777,1969193,0,NA,NA,NA,NA,NA,0,Non-MCU,3.112160790242647,10's,Non-MCU
